subsector,geography,other_index_1,demand_technology,replaced_demand_tech,input_type,interpolation_method,extrapolation_method,extrapolation_growth,name
residential water heating,state,,High Efficiency Electric Resistance Water Heater,Reference Electric Resistance Water Heater,intensity,linear_interpolation,nearest,,Reference Electric Resistance Water Heater to High Efficiency Electric Resistance Water Heater : 0.5 by 2016
residential building shell,us,,FORTY% Res Building Shell,,intensity,linear_interpolation,nearest,,All Techs to FORTY% Res Building Shell : .5 by 2025
commercial ventilation,state,,High Efficiency Constant Air Commercial Ventilation System,Reference Constant Air Commercial Ventilation System,intensity,linear_interpolation,nearest,,Reference Constant Air Commercial Ventilation System to High Efficiency Constant Air Commercial Ventilation System : .5 by 2016
commercial ventilation,state,,High Efficiency Variable Air Commercial Ventilation System,Reference Variable Air Commercial Ventilation System,intensity,linear_interpolation,nearest,,Reference Variable Air Commercial Ventilation System to High Efficiency Variable Air Commercial Ventilation System : .5 by 2016
commercial space heating,state,,High Efficiency Commercial Gas Furnace,Reference Commercial Gas Furnace,intensity,linear_interpolation,nearest,,Reference Commercial Gas Furnace to High Efficiency Commercial Gas Furnace : 0.5 by 2016
commercial space heating,state,,High Efficiency Commercial Gas Boiler,Reference Commercial Gas Boiler,intensity,linear_interpolation,nearest,,Reference Commercial Gas Boiler to High Efficiency Commercial Gas Boiler : .5 by 2016
commercial space heating,state,,High Efficiency Commercial Distillate Boiler,Reference Commercial Distillate Boiler,intensity,linear_interpolation,nearest,,Reference Commercial Distillate Boiler to High Efficiency Commercial Distillate Boiler : 0.5 by 2016
commercial water heating,state,,Commercial High Efficiency Gas Storage Water Heater,Commercial Reference Gas Storage Water Heater,intensity,linear_interpolation,nearest,,Reference Commercial Gas Storage Water Heater to High Efficiency Commercial Gas Storage Water Heater: .5 by 2016
commercial water heating,state,,Commercial High Efficiency Gas Instantaneous Water Heater,Commercial Reference Gas Instantaneous Water Heater,intensity,linear_interpolation,nearest,,Reference Commercial Gas Instantaneous Water Heater to High Efficiency Commercial Gas Instantaneous Water Heater: .5 by 2016
heavy duty trucks,us,,Electric Heavy Duty Vehicle,,intensity,logistic,nearest,,10% EV by 2050
commercial water heating,state,,Commercial High Efficiency Gas Booster Water Heater,Commercial  Reference Gas Booster Water Heater,intensity,linear_interpolation,nearest,,Reference Commercial Gas Booster Water Heater to High Efficiency Gas Booster Water Heater: .5 by 2016
commercial air conditioning,state,,High Efficiency Commercial Air Source Heat Pump - Cooling,Reference Commercial Air Source Heat Pump - Cooling,intensity,linear_interpolation,nearest,,Reference Commercial Air Source Heat Pump - Cooling to High Efficiency Commercial Air Source Heat Pump - Cooling: .5 by 2016
commercial air conditioning,state,,High Efficiency Screw Chiller,Reference Screw Chiller,intensity,linear_interpolation,nearest,,Reference Screw Chiller to High Efficiency Screw Chiller: .5 by 2016
commercial air conditioning,state,,High Efficiency Reciprocating Chiller,Reference Reciprocating Chiller,intensity,linear_interpolation,nearest,,Reference Reciprocating Chiller to High Efficiency Reciprocating Chiller: .5 by 2016
commercial air conditioning,state,,High Efficiency Centrifugal Chiller,Reference Centrifugal Chiller,intensity,linear_interpolation,nearest,,Reference Centrifugal Chiller to High Efficiency Centrifugal Chiller: .5 by 2016
commercial air conditioning,state,,High Efficiency Rooftop Air Conditioner,Reference Rooftop Air Conditioner,intensity,linear_interpolation,nearest,,Reference Rooftop Air Conditioner to High Efficiency Rooftop Air Conditioner: .5 by 2016
commercial air conditioning,state,,High Efficiency Wall/Room Air Conditioner,Reference Wall/Room Air Conditioner,intensity,linear_interpolation,nearest,,Reference Wall/Room Air Conditioner to High Efficiency Wall/Room Air Conditioner: .5 by 2016
commercial air conditioning,state,,High Efficiency Commercial Central Air Conditioner,Reference Commercial Central Air Conditioner,intensity,linear_interpolation,nearest,,Reference Commercial Central Air Conditioner to High Efficiency Commercial Central Air Conditioner: .5 by 2016
commercial refrigeration,state,,High Efficiency Supermarket Display Cases,Reference Supermarket Display Cases,intensity,linear_interpolation,nearest,,Reference Supermarket Display Cases to High Efficiency Supermarket Display Cases: .5 by 2016
commercial refrigeration,state,,High Efficiency Commercial Compressor Rack Systems,Reference Commercial Compressor Rack Systems,intensity,linear_interpolation,nearest,,Reference Commercial Compressor Rack Systems to High Efficiency Commercial Compressor Rack Systems: .5 by 2016
commercial refrigeration,state,,High Efficiency Commercial Condensers,Reference Commercial Condensers,intensity,linear_interpolation,nearest,,Reference Commercial Condensers to High Efficiency Commercial Condensers: .5 by 2016
commercial refrigeration,state,,High Efficiency Commercial Walk-in Refrigerators,Reference Commercial Walk-in Refrigerators,intensity,linear_interpolation,nearest,,Reference Commercial Walk-in Refrigerators to High Efficiency Commercial Walk-in Refrigerators: .5 by 2016
commercial refrigeration,state,,High Efficiency Commercial Walk-in Freezers,Reference Commercial Walk-in Freezers,intensity,linear_interpolation,nearest,,Reference Commercial Walk-in Freezers to High Efficiency Commercial Walk-in Freezers: .5 by 2016
commercial refrigeration,state,,High Efficiency Commercial Reach-in Refrigerators,Reference Commercial Reach-in Refrigerators,intensity,linear_interpolation,nearest,,Reference Commercial Reach-in Refrigerators to High Efficiency Commercial Reach-in Refrigerators: .5 by 2016
commercial refrigeration,state,,High Efficiency Commercial Reach-in Freezers,Reference Commercial Reach-in Freezers,intensity,linear_interpolation,nearest,,Reference Commercial Reach-in Freezers to High Efficiency Commercial Reach-in Freezers: .5 by 2016
commercial refrigeration,state,,High Efficiency Commercial Ice-Machines,Reference Commercial Ice-Machines,intensity,linear_interpolation,nearest,,Reference Commercial Ice-Machines to High Efficiency Commercial Ice-Machines: .5 by 2016
commercial refrigeration,state,,High Efficiency Commercial Beverage Merchandisers,Reference Commercial Beverage Merchandisers,intensity,linear_interpolation,nearest,,Reference Commercial Beverage Merchandisers to High Efficiency Commercial Beverage Merchandisers: .5 by 2016
commercial refrigeration,state,,High Efficiency Commercial Refrigerated Vending Machines,Reference Commercial Refrigerated Vending Machines,intensity,linear_interpolation,nearest,,Reference Commercial Refrigerated Vending Machines to High Efficiency Commercial Refrigerated Vending Machines: .5 by 2016
light duty autos,state,,Electric Light-Duty Auto - 200 mile range,,intensity,logistic,nearest,,NY LDA Zev Mandate -Evs
light duty autos,state,,PHEV - 50 mile range - Light Duty Auto,,intensity,linear_interpolation,nearest,,NY LDA Zev Mandate - PHEVs
light duty trucks,state,,Electric Light-Duty Truck - 200 mile range,,intensity,logistic,nearest,,NY LDT ZEV Mandate - Evs
light duty trucks,state,,PHEV - Gasoline - 50 mile range - Light Duty Truck,,intensity,logistic,nearest,,NY LDT ZEV Mandate - PHEVs
residential water heating,state,,Reference Gas Water Heater,Reference Distillate Water Heater,intensity,linear_interpolation,nearest,,Reference Distillate Water Heater to Reference Gas Water Heater : 0.35 by 2018
residential water heating,state,,High Efficiency Gas Water Heater,Reference Distillate Water Heater,intensity,linear_interpolation,nearest,,Reference Distillate Water Heater to High Efficiency Gas Water Heater: .35 by 2018
light duty autos,state,,Electric Light-Duty Auto - 200 mile range,,intensity,logistic,nearest,,NY Mitigation Case - High Electrification Evs
light duty autos,state,,PHEV - 50 mile range - Light Duty Auto,,intensity,logistic,nearest,,NY Mitigation Case - High Electrification PHEVs
light duty trucks,state,,Electric Light-Duty Truck - 200 mile range,,intensity,logistic,nearest,,NY Mitigation Case - High Electrification LDT Evs
light duty trucks,state,,PHEV - Gasoline - 50 mile range - Light Duty Truck,,intensity,logistic,nearest,,NY Mitigation Case - High Electrification LDT PHEVs
heavy duty trucks,state,,Diesel Hybrid Heavy-Duty Vehicle,,intensity,logistic,nearest,,NY Mitigation Case - Diesel Hybridization of HDVs
medium duty trucks,state,,Battery Electric Medium-Duty Vehicle,,intensity,logistic,nearest,,NY Mitigation Case - Electric MDVs
medium duty trucks,state,,Hybrid Diesel Medium-Duty Vehicle,,intensity,logistic,nearest,,NY Mitigation Case - Hybridized MDVs
residential space heating,state,housing types,Reference Air Source Heat Pump - Heating,,intensity,logistic,nearest,,NY Mitigation Case - Reference ASHP
residential water heating,state,,Reference Electric Heat Pump Water Heater,,intensity,logistic,nearest,,NY Mitigation Case 1 - HP Water Heater
residential cooking,state,,Electric Cooktop/Stove,,intensity,logistic,nearest,,All techs to Electric cookto/stove: .9 by 2016
residential clothes drying,state,,High Efficiency Electric Clothes Dryer,,intensity,logistic,nearest,,All techs to High Efficiency Electric Clothes Dryers: .9 by 2016
residential lighting,state,,LED GSL,,intensity,logistic,nearest,,All general service lighting to LED: 1 by 2016
residential lighting,state,,LED Linear Fluorescent,,intensity,logistic,nearest,,All LFL to LED Fluorescent Replacements: 1 by 2016
residential lighting,state,,LED Reflector,,intensity,logistic,nearest,,All Reflectors to LED : 1 by 2016
residential lighting,state,,LED Exterior,,intensity,logistic,nearest,,All Exterior to LED: 1 by 2016
residential refrigeration,state,,High Efficiency Side Mount Refrigerator,Reference Side Mount Refrigerator,intensity,logistic,nearest,,Reference Side Mount Refrigerator to High Efficiency Side Mount Refrigerator : 1 by 2016
residential refrigeration,state,,High Efficiency Top Mount Refrigerator,Reference Top Mount Refrigerator,intensity,logistic,nearest,,Reference Top Mount Refrigerator to High Efficiency Top Mount Refrigerator : 1 by 2016
residential refrigeration,state,,High Efficiency Bottom Mount Refrigerator,Reference Bottom Mount Refrigerator,intensity,logistic,nearest,,Reference Bottom Mount Refrigerator to High Efficiency Bottom Mount Refrigerator : 1 by 2016
residential dishwashing,state,,High Efficiency Dishwasher,Reference Dishwasher,intensity,logistic,nearest,,Reference Dishwasher to High Efficiency Dishwasher : 1 by 2016
residential freezing,state,,High Efficiency Upright Freezer,Reference Upright Freezer,intensity,linear_interpolation,nearest,,Reference Upright Freezer to High Efficiency Upright Freezer : 1 by 2016
residential freezing,state,,High Efficiency Chest Freezer,Reference Chest Freezer,intensity,linear_interpolation,nearest,,Reference Chest Freezer to High Efficiency Chest Freezer : 1 by 2016
residential clothes washing,state,,High Efficiency Clothes Washer - Front Loading,Reference Clothes Washer - Front Loading,intensity,linear_interpolation,nearest,,Reference Clothes Washer - Front Loading to High Efficiency Clothes Washer - Front Loading : 1 by 2016
residential clothes washing,state,,High Efficiency Clothes Washer - Top Loading,Reference Clothes Washer - Top Loading,intensity,linear_interpolation,nearest,,Reference Clothes Washer - Top Loading to High Efficiency Clothes Washer - Top Loading : 1 by 2016
residential air conditioning,state,,High Efficiency Central Air Conditioner,Reference Central Air Conditioner,intensity,linear_interpolation,nearest,,Reference Central Air Conditioner  to High Efficiency Central Air Conditioner : 1 by 2016
residential air conditioning,state,,High Efficiency Room Air Conditioner,Reference Room Air Conditioner,intensity,linear_interpolation,nearest,,Reference Room Air Conditioner to High Efficiency Room Air Conditioner : 1 by 2016
commercial space heating,state,,Reference Commercial Air Source Heat Pump - Heating,,intensity,logistic,nearest,,All Techs to Reference Commercial Air Source Heat Pump - Heating
commercial water heating,state,,Commercial Reference Heat Pump Storage Water Heater,,intensity,logistic,nearest,,All Techs to Commercial Reference Heat Pump Water Heater: .7 by 2030
commercial refrigeration,state,,High Efficiency Supermarket Display Cases,Reference Supermarket Display Cases,intensity,linear_interpolation,nearest,,Reference Supermarket Display Cases to High Efficiency Supermarket Display Cases: 1 by 2016
commercial refrigeration,state,,High Efficiency Commercial Compressor Rack Systems,Reference Commercial Compressor Rack Systems,intensity,linear_interpolation,nearest,,Reference Commercial Compressor Rack Systems to High Efficiency Commercial Compressor Rack Systems: 1 by 2016
commercial refrigeration,state,,High Efficiency Commercial Condensers,Reference Commercial Condensers,intensity,linear_interpolation,nearest,,Reference Commercial Condensers to High Efficiency Commercial Condensers: 1 by 2016
commercial refrigeration,state,,High Efficiency Commercial Walk-in Refrigerators,Reference Commercial Walk-in Refrigerators,intensity,linear_interpolation,nearest,,Reference Commercial Walk-in Refrigerators to High Efficiency Commercial Walk-in Refrigerators: 1 by 2016
commercial refrigeration,state,,High Efficiency Commercial Walk-in Freezers,Reference Commercial Walk-in Freezers,intensity,linear_interpolation,nearest,,Reference Commercial Walk-in Freezers to High Efficiency Commercial Walk-in Freezers: 1 by 2016
commercial refrigeration,state,,High Efficiency Commercial Reach-in Refrigerators,Reference Commercial Reach-in Refrigerators,intensity,linear_interpolation,nearest,,Reference Commercial Reach-in Refrigerators to High Efficiency Commercial Reach-in Refrigerators: 1 by 2016
commercial refrigeration,state,,High Efficiency Commercial Reach-in Freezers,Reference Commercial Reach-in Freezers,intensity,linear_interpolation,nearest,,Reference Commercial Reach-in Freezers to High Efficiency Commercial Reach-in Freezers: 1 by 2016
commercial refrigeration,state,,High Efficiency Commercial Ice-Machines,Reference Commercial Ice-Machines,intensity,linear_interpolation,nearest,,Reference Commercial Ice-Machines to High Efficiency Commercial Ice-Machines: 1 by 2016
commercial refrigeration,state,,High Efficiency Commercial Beverage Merchandisers,Reference Commercial Beverage Merchandisers,intensity,linear_interpolation,nearest,,Reference Commercial Beverage Merchandisers to High Efficiency Commercial Beverage Merchandisers: 1 by 2016
commercial refrigeration,state,,High Efficiency Commercial Refrigerated Vending Machines,Reference Commercial Refrigerated Vending Machines,intensity,linear_interpolation,nearest,,Reference Commercial Refrigerated Vending Machines to High Efficiency Commercial Refrigerated Vending Machines: 1 by 2016
commercial air conditioning,state,,High Efficiency Screw Chiller,Reference Screw Chiller,intensity,linear_interpolation,nearest,,Reference Screw Chiller to High Efficiency Screw Chiller: 1 by 2016
commercial air conditioning,state,,High Efficiency Reciprocating Chiller,Reference Reciprocating Chiller,intensity,linear_interpolation,nearest,,Reference Reciprocating Chiller to High Efficiency Reciprocating Chiller: 1 by 2016
commercial air conditioning,state,,High Efficiency Centrifugal Chiller,Reference Centrifugal Chiller,intensity,linear_interpolation,nearest,,Reference Centrifugal Chiller to High Efficiency Centrifugal Chiller: 1 by 2016
commercial air conditioning,state,,High Efficiency Rooftop Air Conditioner,Reference Rooftop Air Conditioner,intensity,linear_interpolation,nearest,,Reference Rooftop Air Conditioner to High Efficiency Rooftop Air Conditioner: 1 by 2016
commercial air conditioning,state,,High Efficiency Wall/Room Air Conditioner,Reference Wall/Room Air Conditioner,intensity,linear_interpolation,nearest,,Reference Wall/Room Air Conditioner to High Efficiency Wall/Room Air Conditioner: 1 by 2016
commercial air conditioning,state,,High Efficiency Commercial Central Air Conditioner,Reference Commercial Central Air Conditioner,intensity,linear_interpolation,nearest,,Reference Commercial Central Air Conditioner to High Efficiency Commercial Central Air Conditioner: 1 by 2016
commercial ventilation,state,,High Efficiency Constant Air Commercial Ventilation System,Reference Constant Air Commercial Ventilation System,intensity,linear_interpolation,nearest,,Reference Constant Air Commercial Ventilation System to High Efficiency Constant Air Commercial Ventilation System : 1 by 2016
commercial ventilation,state,,High Efficiency Variable Air Commercial Ventilation System,Reference Variable Air Commercial Ventilation System,intensity,linear_interpolation,nearest,,Reference Variable Air Commercial Ventilation System to High Efficiency Variable Air Commercial Ventilation System : 1 by 2016
residential space heating,state,,Reference Natural Gas Furnace,Reference Distillate Furnace,intensity,linear_interpolation,nearest,,"Reference Distillate Furnace to Reference Natural Gas Furnace : .7 by 2018, .3 by 2030"
residential space heating,state,,Reference Natural Gas Boiler/Radiator,Reference Distillate Boiler/Radiator,intensity,linear_interpolation,nearest,,"Reference Distillate Boiler/Radiator to Reference Natural Gas Boiler/Radiator : 0.7 by 2018, .3 by 2030"
residential water heating,state,,Reference Gas Water Heater,Reference Distillate Water Heater,intensity,linear_interpolation,nearest,,"Reference Distillate Water Heater to Reference Gas Water Heater : 0.7 by 2018, .3 by 2030"
residential space heating,state,housing types,Reference Geothermal Heat Pump - Heating,,intensity,logistic,nearest,,All techs to GSHP: 5% by 2050
light duty autos,us,,Electric Light-Duty Auto - 200 mile range,,intensity,logistic,nearest,,Washington Mitigation Case - 90% EVS by 2040
light duty autos,us,,PHEV - 50 mile range - Light Duty Auto,,intensity,logistic,nearest,,Washington Mitigation Case - 10% PHEVs by 2040
light duty trucks,us,,Electric Light-Duty Truck - 200 mile range,,intensity,logistic,nearest,,90% LDT Evs by 2040
light duty trucks,us,,PHEV - Gasoline - 50 mile range - Light Duty Truck,,intensity,logistic,nearest,,10% LDT PHEVs by 2040
heavy duty trucks,us,,Diesel Hybrid Heavy-Duty Vehicle,,intensity,logistic,nearest,,100% Hybrid Diesel by 2050
medium duty trucks,us,,Hybrid Gasoline Medium-Duty Vehicle,,intensity,logistic,nearest,,17% Hybrid Diesel by 2050
medium duty trucks,us,,Battery Electric Medium-Duty Vehicle,,intensity,logistic,nearest,,75% Electric by 2050
medium duty trucks,us,,Hybrid Gasoline Medium-Duty Vehicle,,intensity,logistic,nearest,,8.3% Hybrid Gasoline by 2050
residential space heating,us,,High Efficiency Air Source Heat Pump - Heating,Reference Natural Gas Furnace,intensity,logistic,nearest,,Reference Natural Gas Furnace to High Efficiency Air Source Heat Pump - Heating : 1 by 2035
residential space heating,us,,High Efficiency Air Source Heat Pump - Heating,Reference Distillate Furnace,intensity,logistic,nearest,,Reference Distillate Furnace to High Efficiency Air Source Heat Pump - Heating : 1 by 2035
commercial cooking,us,,"Range, Electric-induction, 4 burner, oven, 11"" griddle","Range, Gas, 4 burner, oven, 11"" griddle",intensity,logistic,nearest,,"Range, Gas, 4 burner, oven, 11"" griddle        to Range, Electric-induction, 4 burner, oven, 11"" griddle : .5 by 2035"
medium duty trucks,us,,Hybrid CNG Medium-Duty Vehicle,,intensity,logistic,nearest,,25% CNG MDT by 2050
heavy duty trucks,us,,Diesel Hybrid Heavy-Duty Vehicle,,intensity,logistic,nearest,,50% Hybrid Diesel by 2050
heavy duty trucks,us,,LNG Hybrid Heavy-Duty Vehicle,,intensity,logistic,nearest,,50 Hybrid LNG by 2050
residential water heating,us,,High Efficiency Gas Water Heater,Reference Gas Water Heater,intensity,logistic,nearest,,Reference Gas Water Heater to High Efficiency Gas Water Heater : 1 by 2035
residential water heating,us,,High Efficiency Distillate Water Heater,Reference Distillate Water Heater,intensity,logistic,nearest,,Reference Distillate Water Heater to High Efficiency Distillate Water Heater : 1 by 2035
residential water heating,us,,High Efficiency LPG Water Heater,Reference LPG Water Heater,intensity,logistic,nearest,,Reference LPG Water Heater to High Efficiency LPG Water Heater : 1 by 2035
residential water heating,us,,High Efficiency Electric Heat Pump Water Heater,Reference Electric Resistance Water Heater,intensity,logistic,nearest,,Reference Electric Resistance Water Heater to High Efficiency Electric Heat Pump Water Heater : 1 by 2035
commercial water heating,us,,Commercial High Efficiency Gas Storage Water Heater,Commercial Reference Gas Storage Water Heater,intensity,logistic,nearest,,Commercial Reference Gas Storage Water Heater to Commercial High Efficiency Gas Storage Water Heater : 1 by 2035
commercial water heating,us,,Commercial High Efficiency Oil Water Heater,Commercial Reference Oil Water Heater,intensity,logistic,nearest,,Commercial Reference Oil Water Heater to Commercial High Efficiency Oil Water Heater : 1 by 2035
commercial water heating,us,,Commercial High Efficiency Heat Pump Storage Water Heater,Commercial Electric Resistance Storage Water Heater,intensity,logistic,nearest,,Commercial Electric Resistance Storage Water Heater to Commercial High Efficiency Heat Pump Storage Water Heater : 1 by 2035
commercial space heating,us,,High Efficiency Commercial Gas Furnace,Reference Commercial Gas Furnace,intensity,logistic,nearest,,Reference Commercial Gas Furnace to High Efficiency Commercial Gas Furnace : 1 by 2035
commercial space heating,us,,High Efficiency Commercial Gas Boiler,Reference Commercial Gas Boiler,intensity,logistic,nearest,,Reference Commercial Gas Boiler to High Efficiency Commercial Gas Boiler : 1 by 2035
commercial space heating,us,,High Efficiency Commercial Distillate Boiler,Reference Commercial Distillate Boiler,intensity,logistic,nearest,,Reference Commercial Distillate Boiler to High Efficiency Commercial Distillate Boiler : 1 by 2035
residential space heating,us,,High Efficiency Distillate Boiler/Radiator,Reference Distillate Boiler/Radiator,intensity,logistic,nearest,,Reference Distillate Boiler/Radiator to High Efficiency Distillate Boiler/Radiator : 1 by 2035
residential space heating,us,,High Efficiency Natural Gas Boiler/Radiator,Reference Natural Gas Boiler/Radiator,intensity,logistic,nearest,,Reference Natural Gas Boiler/Radiator to High Efficiency Natural Gas Boiler/Radiator : 1 by 2035
residential space heating,us,,High Efficiency LPG Furnace,Reference LPG Furnace,intensity,logistic,nearest,,Reference LPG Furnace to High Efficiency LPG Furnace : 1 by 2035
residential space heating,us,,High Efficiency Kerosene Furnace,Reference Kerosene Furnace,intensity,logistic,nearest,,Reference Kerosene Furnace to High Efficiency Kerosene Furnace : 1 by 2035
residential space heating,us,,High Efficiency Natural Gas Furnace,Reference Natural Gas Furnace,intensity,logistic,nearest,,Reference Natural Gas Furnace to High Efficiency Natural Gas Furnace : 1 by 2035
residential space heating,us,,High Efficiency Distillate Furnace,Reference Distillate Furnace,intensity,logistic,nearest,,Reference Distillate Furnace to High Efficiency Distillate Furnace : 1 by 2035
residential building shell,us,,PATH Res Building Shell,,intensity,linear_interpolation,nearest,,All Techs to PATH Res Building Shell : 1 by 2025
light duty trucks,us,,Electric Light-Duty Truck - 200 mile range,,intensity,logistic,nearest,,9% LDT Evs by 2035
light duty trucks,us,,PHEV - Gasoline - 50 mile range - Light Duty Truck,,intensity,logistic,nearest,,1% LDT PHEVs by 2035
light duty autos,us,,Electric Light-Duty Auto - 200 mile range,,intensity,logistic,nearest,,Washington Mitigation Case - 9% EVS by 2035
light duty autos,us,,PHEV - 50 mile range - Light Duty Auto,,intensity,logistic,nearest,,Washington Mitigation Case - 1% PHEVs by 2035
light duty autos,us,,Electric Light-Duty Auto - 200 mile range,,intensity,logistic,nearest,,Washington Mitigation Case - 40% EVS by 2035
light duty autos,us,,Autonomous Electric Light-Duty Auto,,intensity,logistic,nearest,,Washington Mitigation Case - 50% AVS by 2040
light duty trucks,us,,Electric Light-Duty Truck - 200 mile range,,intensity,logistic,nearest,,40% LDT Evs by 2040
light duty trucks,us,,Autonomous Electric Light-Duty Truck,,intensity,logistic,nearest,,50% LDT AVs by 2040
light duty trucks,us,,Autonomous Electric Light-Duty Truck,Autonomous Electric Light-Duty Truck,intensity,linear_interpolation,linear_interpolation,,100% AV Replacement
light duty autos,us,,Autonomous Electric Light-Duty Auto,Autonomous Electric Light-Duty Auto,intensity,linear_interpolation,linear_interpolation,,100% AV Replacement - LDA
heavy duty trucks,us,,Hydrogen FCV Heavy-Duty Vehicle,,intensity,logistic,nearest,,40% H2FCV by 2050
medium duty trucks,us,,Battery Electric Medium-Duty Vehicle,,intensity,logistic,nearest,,100% Electric by 2050
residential lighting,state,residential lighting category,LED GSL,,intensity,logistic,nearest,,All general service lighting to LED: .25 by 2025
residential lighting,state,residential lighting category,LED Linear Fluorescent,,intensity,logistic,nearest,,All LFL to LED Fluorescent Replacements: .25 by 2025
residential lighting,state,residential lighting category,LED Reflector,,intensity,linear_interpolation,nearest,,All Reflectors to LED : .25 by 2025
residential lighting,state,residential lighting category,LED Exterior,,intensity,linear_interpolation,nearest,,All Exterior to LED: .25 by 2025
light duty autos,us,,Electric Light-Duty Auto - 200 mile range,,intensity,linear_interpolation,nearest,,NREL Reference: adopt Electric Light-Duty Auto - 200 mile range
light duty autos,us,,PHEV - 25 mile range - Light Duty Auto,,intensity,linear_interpolation,nearest,,NREL Reference: adopt PHEV - 25 mile range - Light Duty Auto
light duty autos,us,,Electric Light-Duty Auto - 100 mile range,,intensity,linear_interpolation,nearest,,NREL Reference: adopt Electric Light-Duty Auto - 100 mile range
light duty autos,us,,Electric Light-Duty Auto - 300 mile range,,intensity,linear_interpolation,nearest,,NREL Reference: adopt Electric Light-Duty Auto - 300 mile range
light duty trucks,us,,Electric Light-Duty Truck - 200 mile range,,intensity,linear_interpolation,nearest,,NREL Reference: adopt Electric Light-Duty Truck - 200 mile range
light duty trucks,us,,PHEV - Gasoline - 50 mile range - Light Duty Truck,,intensity,linear_interpolation,nearest,,NREL Reference: adopt PHEV - Gasoline - 50 mile range - Light Duty Truck
light duty trucks,us,,PHEV - Gasoline - 25 mile range - Light Duty Truck,,intensity,linear_interpolation,nearest,,NREL Reference: adopt PHEV - Gasoline - 25 mile range - Light Duty Truck
light duty trucks,us,,Electric Light-Duty Truck - 100 mile range,,intensity,linear_interpolation,nearest,,NREL Reference: adopt Electric Light-Duty Truck - 100 mile range
light duty trucks,us,,Electric Light-Duty Truck - 300 mile range,,intensity,linear_interpolation,nearest,,NREL Reference: adopt Electric Light-Duty Truck - 300 mile range
medium duty trucks,us,,Battery Electric Medium-Duty Vehicle,,intensity,logistic,nearest,,NREL Moderate: adopt Battery Electric Medium-Duty Vehicle
heavy duty trucks,us,,Electric Heavy Duty Vehicle,,intensity,linear_interpolation,nearest,,NREL Moderate: adopt Electric Heavy Duty Vehicle
light duty autos,us,,Electric Light-Duty Auto - 200 mile range,,intensity,linear_interpolation,nearest,,NREL Moderate: adopt Electric Light-Duty Auto - 200 mile range
light duty autos,us,,PHEV - 50 mile range - Light Duty Auto,,intensity,linear_interpolation,nearest,,NREL Moderate: adopt PHEV - 50 mile range - Light Duty Auto
light duty autos,us,,PHEV - 25 mile range - Light Duty Auto,,intensity,linear_interpolation,nearest,,NREL Moderate: adopt PHEV - 25 mile range - Light Duty Auto
heavy duty trucks,us,,Electric Heavy Duty Vehicle,,intensity,linear_interpolation,nearest,,NREL Reference: adopt Electric Heavy Duty Vehicle
residential clothes drying,us,,Reference Electric Clothes Dryer,Reference Gas Clothes Dryer,intensity,logistic,nearest,,NREL Moderate: Reference Electric Clothes Dryer replaces Reference Gas Clothes Dryer
residential clothes drying,us,,Reference Electric Clothes Dryer,Reference Gas Clothes Dryer,intensity,logistic,nearest,,NREL High: Reference Electric Clothes Dryer replaces Reference Gas Clothes Dryer
residential clothes drying,us,,Reference Electric Clothes Dryer,Reference Gas Clothes Dryer,intensity,logistic,nearest,,NREL Very High: Reference Electric Clothes Dryer replaces Reference Gas Clothes Dryer
residential cooking,us,,Electric Cooktop/Stove,Reference Gas Cooktop/Stove,intensity,logistic,nearest,,NREL Moderate: Electric Cooktop/Stove replaces Reference Gas Cooktop/Stove
residential cooking,us,,Electric Cooktop/Stove,Reference Gas Cooktop/Stove,intensity,logistic,nearest,,NREL High: Electric Cooktop/Stove replaces Reference Gas Cooktop/Stove
residential cooking,us,,Electric Cooktop/Stove,Reference Gas Cooktop/Stove,intensity,logistic,nearest,,NREL Very High: Electric Cooktop/Stove replaces Reference Gas Cooktop/Stove
commercial cooking,us,,"Range, Electric, 4 burner, oven, 11"" griddle","Range, Gas, 4 burner, oven, 11"" griddle",intensity,logistic,nearest,,"NREL Moderate: Range, Electric, 4 burner, oven, 11"" griddle replaces Range, Gas, 4 burner, oven, 11"" griddle"
commercial cooking,us,,"Range, Electric, 4 burner, oven, 11"" griddle","Range, Gas, 4 burner, oven, 11"" griddle",intensity,logistic,nearest,,"NREL High: Range, Electric, 4 burner, oven, 11"" griddle replaces Range, Gas, 4 burner, oven, 11"" griddle"
commercial cooking,us,,"Range, Electric, 4 burner, oven, 11"" griddle","Range, Gas, 4 burner, oven, 11"" griddle",intensity,logistic,nearest,,"NREL Very High: Range, Electric, 4 burner, oven, 11"" griddle replaces Range, Gas, 4 burner, oven, 11"" griddle"
commercial cooking,us,,"Range, Electric, 4 burner, oven, 11"" griddle","Range, Gas, 4 powered burners, convect. oven, 11"" griddle",intensity,logistic,nearest,,"NREL Moderate: Range, Electric, 4 burner, oven, 11"" griddle replaces Range, Gas, 4 powered burners, convect. oven, 11"" griddle"
commercial cooking,us,,"Range, Electric, 4 burner, oven, 11"" griddle","Range, Gas, 4 powered burners, convect. oven, 11"" griddle",intensity,logistic,nearest,,"NREL High: Range, Electric, 4 burner, oven, 11"" griddle replaces Range, Gas, 4 powered burners, convect. oven, 11"" griddle"
